iter	RMSE
0	773.3188232
1	769.7360746
2	766.0335709
3	762.6796548
4	758.9374139
5	755.1345835
6	751.3992018
7	747.4632362
8	743.1426582
9	738.9062911
10	734.9003559
11	730.824958
12	727.3219603
13	723.9812454
14	720.2988464
15	716.3013115
16	713.1296852
17	709.0853304
18	705.6200682
19	702.1411577
20	698.6956187
21	695.3320859
22	691.8239357
23	688.5166123
24	684.7807634
25	681.4468153
26	678.3594262
27	674.9409326
28	671.7855252
29	668.7877227
30	665.5075599
31	662.2498198
32	658.8803895
33	655.3902646
34	652.0713399
35	649.2206644
36	645.4827915
37	642.7019018
38	639.3614138
39	636.0687383
40	633.1596233
41	630.0411582
42	626.9761943
43	624.1613887
44	620.9835203
45	617.8605901
46	614.7908311
47	611.9484565
48	608.9134364
49	605.9905131
50	603.2455871
51	600.6768163
52	597.8058795
53	595.0643425
54	592.3700343
55	590.2392946
56	587.5908264
57	585.0490238
58	581.8806806
59	578.9592938
60	576.4586284
61	574.099935
62	571.6899309
63	569.1413441
64	566.6330513
65	563.926616
66	561.714576
67	558.9401742
68	556.5143246
69	553.730497
70	551.371277
71	548.9750668
72	546.4763073
73	544.3818049
74	541.765349
75	539.6434629
76	537.39215
77	534.7994113
78	532.3328592
79	529.9773418
80	527.6832667
81	525.5211351
82	523.0258216
83	520.9309239
84	518.4059348
85	516.3392999
86	514.6110443
87	512.3474332
88	510.3519387
89	508.1687457
90	506.101973
91	503.8722473
92	501.9236695
93	499.8178682
94	497.6145332
95	495.7613125
96	493.4544043
97	491.3137961
98	489.5002198
99	487.274182
100	485.17865
101	483.4636723
102	481.670895
103	479.5267456
104	477.168232
105	475.3594862
106	473.668152
107	471.7267935
108	470.0091261
109	468.1385603
110	466.0253632
111	464.2591117
112	462.536026
113	460.7914927
114	459.1917098
115	457.2387932
116	455.4960339
117	453.9701004
118	452.251983
119	450.6270493
120	448.7294322
121	447.1663375
122	445.4145917
123	443.8817426
124	442.4200035
125	440.7169495
126	438.9576755
127	437.1829195
128	435.431367
129	433.9500855
130	432.494261
131	430.9728307
132	429.4994998
133	428.0904643
134	426.4063436
135	424.7649225
136	423.3046181
137	421.9067488
138	420.6575495
139	419.2921732
140	417.7749178
141	416.2788447
142	415.1451035
143	413.7651745
144	412.2175853
145	410.9173799
146	409.4433894
147	408.0819682
148	406.7710946
149	405.4684984
150	404.1781707
151	402.5923029
152	401.059171
153	399.562407
154	398.193547
155	396.8015821
156	395.3272025
157	394.2862733
158	393.1212031
159	391.7224733
160	390.5409985
161	389.6640481
162	388.4495935
163	387.2098619
164	385.8966648
165	384.7507273
166	383.440448
167	382.4473831
168	381.2189596
169	380.0364289
170	379.1175156
171	377.9403885
172	376.9384724
173	375.7965054
174	374.7656388
175	373.6244477
176	372.3722976
177	371.1755103
178	369.9454242
179	368.5924422
180	367.498269
181	366.402013
182	365.4208724
183	364.440915
184	363.3218224
185	362.531968
186	361.5328222
187	360.5631601
188	359.5968965
189	358.7071563
190	357.6887924
191	356.7345118
192	355.8960496
193	354.8791317
194	353.9421121
195	352.935251
196	352.1079103
197	350.8873207
198	350.0107409
199	349.0300188
200	348.0817718
201	347.1053425
202	346.1958881
203	345.3838206
204	344.3827116
205	343.3765738
206	342.4838332
207	341.7014992
208	340.8224646
209	339.8197063
210	338.857045
211	338.0672008
212	336.9938809
213	336.093783
214	335.194649
215	334.1998491
216	333.4673107
217	332.5939751
218	331.877582
219	331.2427371
220	330.3201187
221	329.4495216
222	328.7565097
223	327.925171
224	327.322636
225	326.6057942
226	325.8114277
227	324.956542
228	324.2240952
229	323.3547118
230	322.7204441
231	321.8479227
232	321.1462875
233	320.2908934
234	319.4103394
235	318.7294063
236	318.0832276
237	317.2989591
238	316.575847
239	315.9565663
240	315.2447317
241	314.620832
242	313.7876778
243	312.9939805
244	312.2413944
245	311.5929231
246	310.8746197
247	310.2788906
248	309.4800836
249	308.8394211
250	308.2847507
251	307.4582691
252	306.8050923
253	306.236665
254	305.5388535
255	304.9093086
256	304.2541896
257	303.7762762
258	303.0769081
259	302.308834
260	301.7106665
261	301.0960501
262	300.4069213
263	299.797758
264	299.0075704
265	298.5574978
266	297.8691352
267	297.398324
268	296.6102697
269	296.1051115
270	295.4938646
271	294.7134585
272	294.1826223
273	293.6674688
274	293.101882
275	292.5712722
276	292.0628384
277	291.449187
278	290.9374119
279	290.2785525
280	289.7787798
281	289.1423364
282	288.5006411
283	288.0183604
284	287.5467403
285	287.0110758
286	286.4551937
287	285.8198506
288	285.365207
289	284.7266351
290	284.3166792
291	283.8514806
292	283.4229811
293	282.9692847
294	282.503219
295	282.0929326
296	281.6057874
297	281.1463485
298	280.5646827
299	280.0399469
300	279.5547416
301	279.1690391
302	278.6886543
303	278.0309917
304	277.4910873
305	276.8597839
306	276.4609544
307	276.1042192
308	275.5982526
309	275.0222815
310	274.5351003
311	274.0961174
312	273.5752797
313	272.9672503
314	272.5866962
315	272.0960316
316	271.5763447
317	271.1021022
318	270.7207018
319	270.2554587
320	269.7416421
321	269.3733826
322	269.0528523
323	268.5901457
324	268.2017018
325	267.8321342
326	267.3734767
327	266.9465674
328	266.4771156
329	266.077071
330	265.641495
331	265.2255744
332	264.9451436
333	264.6138102
334	264.0060895
335	263.5812617
336	263.1723853
337	262.7542898
338	262.2596828
339	261.8709196
340	261.3462909
341	260.9898762
342	260.561333
343	260.14246
344	259.770412
345	259.3629688
346	258.9002554
347	258.526046
348	258.2283701
349	257.842537
350	257.4166869
351	257.068582
352	256.6751479
353	256.2768421
354	255.9363185
355	255.5857771
356	255.1406557
357	254.801313
358	254.3869048
359	253.9835008
360	253.5659784
361	253.1166546
362	252.6681831
363	252.289359
364	251.9687906
365	251.690927
366	251.3685861
367	250.9409808
368	250.5267651
369	250.2456099
370	249.8639886
371	249.516664
372	249.074796
373	248.7093568
374	248.4085725
375	248.0605257
376	247.6296454
377	247.385603
378	247.1100203
379	246.6807173
380	246.3518493
381	246.0514979
382	245.6897328
383	245.3987357
384	245.0735088
385	244.6442718
386	244.4036231
387	244.1010936
388	243.7135944
389	243.3664472
390	243.068638
391	242.801236
392	242.5554933
393	242.0456796
394	241.7503746
395	241.4412651
396	241.1065117
397	240.7088881
398	240.3235646
399	239.9603988
400	239.5647713
401	239.1384978
402	238.8896764
403	238.659893
404	238.3548488
405	238.0861516
406	237.7594872
407	237.5181865
408	237.177102
409	236.7855752
410	236.4667084
411	236.0737091
412	235.8676299
413	235.6136328
414	235.3864624
415	235.1693157
416	234.9380691
417	234.6876046
418	234.3099408
